2018/09/18 15:52:30 [router.go:797] [D] | GET        | /status                                  | 254.217µs        | match      | /status                                  | 
2018/09/18 15:52:30 [router.go:797] [D] | GET        | /status                                  | 362.393µs        | match      | /status                                  | 
2018/09/18 15:55:52 [router.go:797] [D] | GET        | /status                                  | 103.036µs        | match      | /status                                  | 
2018/09/18 15:55:52 [router.go:797] [D] | GET        | /status                                  | 131.532µs        | match      | /status                                  | 
2018/09/18 15:56:37 [router.go:797] [D] | GET        | /status                                  | 87.46µs          | match      | /status                                  | 
2018/09/18 15:56:37 [router.go:797] [D] | GET        | /status                                  | 156.993µs        | match      | /status                                  | 
2018/09/18 15:59:41 [router.go:797] [D] | GET        | /status                                  | 123.613µs        | match      | /status                                  | 
2018/09/18 15:59:41 [router.go:797] [D] | GET        | /status                                  | 142.877µs        | match      | /status                                  | 
2018/09/18 16:00:14 [router.go:797] [D] | GET        | /status                                  | 1.527713ms       | match      | /status                                  | 
2018/09/18 16:00:14 [router.go:797] [D] | GET        | /status                                  | 174.158µs        | match      | /status                                  | 
2018/09/18 16:00:53 [router.go:797] [D] | GET        | /status                                  | 400.965µs        | match      | /status                                  | 
2018/09/18 16:00:53 [router.go:797] [D] | GET        | /status                                  | 895.756µs        | match      | /status                                  | 
2018/09/18 16:01:29 [router.go:797] [D] | GET        | /status                                  | 1.110942ms       | match      | /status                                  | 
2018/09/18 16:01:29 [router.go:797] [D] | GET        | /status                                  | 1.160949ms       | match      | /status                                  | 
2018/09/18 16:01:34 [router.go:797] [D] | GET        | /status                                  | 125.597µs        | match      | /status                                  | 
2018/09/18 16:01:34 [router.go:797] [D] | GET        | /status                                  | 171.943µs        | match      | /status                                  | 
2018/09/18 16:09:44 [router.go:797] [D] | GET        | /status                                  | 371.665µs        | match      | /status                                  | 
2018/09/18 16:09:44 [router.go:797] [D] | GET        | /status                                  | 350.065µs        | match      | /status                                  | 
2018/09/18 16:10:42 [router.go:797] [D] | GET        | /status                                  | 96.639µs         | match      | /status                                  | 
2018/09/18 16:10:42 [router.go:797] [D] | GET        | /status                                  | 144.063µs        | match      | /status                                  | 
2018/09/18 16:11:49 [router.go:797] [D] | GET        | /status                                  | 178.044µs        | match      | /status                                  | 
2018/09/18 16:11:49 [router.go:797] [D] | GET        | /status                                  | 80.703µs         | match      | /status                                  | 
2018/09/18 16:12:37 [router.go:797] [D] | GET        | /status                                  | 85.446µs         | match      | /status                                  | 
2018/09/18 16:12:37 [router.go:797] [D] | GET        | /status                                  | 197.602µs        | match      | /status                                  | 
2018/09/18 16:15:02 [router.go:797] [D] | GET        | /status                                  | 85.967µs         | match      | /status                                  | 
2018/09/18 16:15:02 [router.go:797] [D] | GET        | /status                                  | 135.488µs        | match      | /status                                  | 
2018/09/18 16:15:11 [router.go:797] [D] | GET        | /status                                  | 113.737µs        | match      | /status                                  | 
2018/09/18 16:15:11 [router.go:797] [D] | GET        | /status                                  | 185.057µs        | match      | /status                                  | 
2018/09/18 16:36:06 [router.go:797] [D] | GET        | /status                                  | 287.825µs        | match      | /status                                  | 
2018/09/18 16:36:06 [router.go:797] [D] | GET        | /status                                  | 222.546µs        | match      | /status                                  | 
2018/09/18 17:39:27 [router.go:797] [D] | GET        | /status                                  | 159.107µs        | match      | /status                                  | 
2018/09/18 17:39:27 [router.go:797] [D] | GET        | /status                                  | 905.89µs         | match      | /status                                  | 
2018/09/18 17:39:57 [router.go:797] [D] | GET        | /status                                  | 296.899µs        | match      | /status                                  | 
2018/09/18 17:39:57 [router.go:797] [D] | GET        | /status                                  | 1.061884ms       | match      | /status                                  | 
2018/09/18 17:42:44 [router.go:797] [D] | GET        | /status                                  | 747.949µs        | match      | /status                                  | 
2018/09/18 17:42:44 [router.go:797] [D] | GET        | /status                                  | 2.344589ms       | match      | /status                                  | 
2018/09/18 17:48:57 [router.go:797] [D] | GET        | /status                                  | 155.218µs        | match      | /status                                  | 
2018/09/18 17:48:57 [router.go:797] [D] | GET        | /status                                  | 195.845µs        | match      | /status                                  | 
2018/09/18 17:49:16 [router.go:797] [D] | GET        | /status                                  | 123.107µs        | match      | /status                                  | 
2018/09/18 17:49:16 [router.go:797] [D] | GET        | /status                                  | 269.323µs        | match      | /status                                  | 
2018/09/18 17:49:43 [router.go:797] [D] | GET        | /status                                  | 94.79µs          | match      | /status                                  | 
2018/09/18 17:49:43 [router.go:797] [D] | GET        | /status                                  | 735.59µs         | match      | /status                                  | 
2018/09/18 18:08:05 [router.go:797] [D] | GET        | /status                                  | 1.606596ms       | match      | /status                                  | 
2018/09/18 18:08:06 [router.go:797] [D] | GET        | /status                                  | 545.179µs        | match      | /status                                  | 
2018/09/18 18:08:57 [router.go:797] [D] | GET        | /status                                  | 171.251µs        | match      | /status                                  | 
2018/09/18 18:08:57 [router.go:797] [D] | GET        | /status                                  | 991.357µs        | match      | /status                                  | 
